naics_sector,total,actual_default,mean_prob,approval_rate,calibration_error,abs_calibration_error,calibration_flag
11,1598,0.04630788485607009,0.2459087922930765,0.7221526908635795,0.1996,0.1996,False
23,10480,0.07977099236641222,0.20333106474130067,0.8026717557251908,0.1236,0.1236,False
31,1919,0.05992704533611256,0.21818845279618024,0.7811360083376759,0.1583,0.1583,False
32,1790,0.07206703910614524,0.2081037712931799,0.7916201117318435,0.136,0.136,False
33,3875,0.05264516129032258,0.19454863967156302,0.8018064516129032,0.1419,0.1419,False
42,5132,0.08300857365549494,0.21437311095632855,0.7866328916601715,0.1314,0.1314,False
44,9310,0.07379162191192266,0.18888188355786445,0.8134264232008592,0.1151,0.1151,False
45,3665,0.10150068212824011,0.22512482556053046,0.7776261937244202,0.1236,0.1236,False
48,5246,0.08825772016774686,0.2160371700255963,0.7931757529546322,0.1278,0.1278,False
51,1124,0.07740213523131673,0.21682180745716495,0.7838078291814947,0.1394,0.1394,False
52,1738,0.05005753739930955,0.12397441342491285,0.8883774453394706,0.0739,0.0739,False
53,2118,0.054296506137865914,0.16698739984127386,0.8380547686496695,0.1127,0.1127,False
54,9464,0.06403212172442942,0.18660432557928458,0.819632290786137,0.1226,0.1226,False
56,4575,0.0791256830601093,0.20121746318446027,0.807431693989071,0.1221,0.1221,False
61,1323,0.08767951625094482,0.22208051258087072,0.7792894935752078,0.1344,0.1344,False
62,8629,0.04693475489627998,0.1422885738287941,0.8545602039633793,0.0954,0.0954,False
71,2678,0.08999253174010456,0.2375050364616994,0.7684839432412248,0.1475,0.1475,False
72,12058,0.08168850555647703,0.21448426393402148,0.7837949908774258,0.1328,0.1328,False
81,7968,0.07693273092369478,0.19733448111041788,0.8082329317269077,0.1204,0.1204,False
