loan_size_bucket,total,actual_default,mean_prob,approval_rate,calibration_error,abs_calibration_error,calibration_flag
jumbo,3428,0.03208868144690782,0.11563108659929412,0.8722287047841307,0.0835,0.0835,False
large,5883,0.04062553119156893,0.14434944565538274,0.8402175760666326,0.1037,0.1037,False
medium,8184,0.04655425219941349,0.15533748367863426,0.8351661779081134,0.1088,0.1088,False
micro,56622,0.08411924693582,0.2153081849502394,0.7917240648511179,0.1312,0.1312,False
small,21419,0.06942434287315001,0.19529675939082858,0.8060600401512675,0.1259,0.1259,False
