group,total,tp,fp,tn,fn,tpr,fpr,precision,tpr_ratio,fpr_ratio,tpr_flag,fpr_flag,any_flag,reference_group,ref_tpr,ref_fpr
jumbo,3428,105,333,2985,5,0.9545,0.1004,0.2397,1.0,1.0,False,False,False,jumbo,0.9545,0.1004
large,5883,227,713,4931,12,0.9498,0.1263,0.2415,0.9951,1.258,False,True,True,jumbo,0.9545,0.1004
medium,8184,369,980,6823,12,0.9685,0.1256,0.2735,1.0147,1.251,False,True,True,jumbo,0.9545,0.1004
micro,56622,4545,7248,44611,218,0.9542,0.1398,0.3854,0.9997,1.3924,False,True,True,jumbo,0.9545,0.1004
small,21419,1413,2741,17191,74,0.9502,0.1375,0.3402,0.9955,1.3695,False,True,True,jumbo,0.9545,0.1004
